iter	Passed	Remaining
0	101	50746
1	129	32266
2	141	23507
3	161	20082
4	175	17332
5	184	15190
6	193	13603
7	202	12447
8	210	11509
9	220	10790
10	228	10161
11	237	9642
12	246	9221
13	255	8864
14	264	8536
15	272	8237
16	280	7961
17	287	7703
18	296	7515
19	304	7317
20	312	7131
21	320	6968
22	328	6818
23	337	6688
24	345	6569
25	354	6454
26	362	6351
27	370	6243
28	378	6155
29	387	6068
30	395	5976
31	403	5896
32	410	5813
33	419	5743
34	427	5683
35	435	5612
36	443	5544
37	450	5481
38	459	5433
39	467	5380
40	476	5329
41	484	5288
42	493	5244
43	501	5202
44	510	5161
45	520	5133
46	529	5100
47	537	5063
48	546	5031
49	555	5002
50	565	4976
51	578	4983
52	593	5003
53	603	4987
54	620	5022
55	636	5045
56	654	5085
57	708	5395
58	746	5581
59	758	5563
60	779	5612
61	792	5595
62	804	5577
63	815	5556
64	827	5534
65	841	5535
66	855	5526
67	864	5492
68	874	5460
69	885	5438
70	896	5417
71	905	5384
72	916	5363
73	929	5351
74	941	5335
75	987	5509
76	1015	5578
77	1038	5617
78	1052	5610
79	1065	5593
80	1078	5577
81	1091	5562
82	1106	5557
83	1122	5559
84	1137	5555
85	1155	5563
86	1168	5545
87	1193	5586
88	1253	5789
89	1275	5811
90	1293	5814
91	1308	5801
92	1319	5775
93	1333	5760
94	1347	5744
95	1359	5720
96	1370	5694
97	1381	5666
98	1394	5646
99	1421	5684
100	1467	5798
101	1485	5794
102	1500	5782
103	1509	5747
104	1519	5715
105	1529	5684
106	1538	5649
107	1546	5613
108	1555	5579
109	1564	5546
110	1573	5514
111	1582	5482
112	1591	5451
113	1599	5415
114	1607	5382
115	1617	5353
116	1625	5322
117	1634	5290
118	1642	5259
119	1651	5230
120	1660	5201
121	1669	5171
122	1678	5143
123	1686	5114
124	1695	5087
125	1705	5062
126	1713	5032
127	1722	5004
128	1731	4978
129	1739	4950
130	1748	4923
131	1756	4896
132	1765	4871
133	1773	4845
134	1782	4819
135	1791	4793
136	1799	4767
137	1807	4742
138	1816	4718
139	1825	4694
140	1834	4671
141	1844	4650
142	1855	4632
143	1865	4612
144	1876	4594
145	1888	4579
146	1899	4560
147	1908	4538
148	1917	4516
149	1925	4493
150	1934	4472
151	1944	4451
152	1952	4429
153	1961	4407
154	1970	4385
155	1977	4361
156	1986	4340
157	1994	4317
158	2002	4295
159	2010	4272
160	2019	4251
161	2030	4236
162	2043	4223
163	2051	4202
164	2059	4181
165	2067	4160
166	2075	4138
167	2083	4117
168	2091	4096
169	2099	4074
170	2106	4053
171	2114	4032
172	2123	4012
173	2131	3993
174	2138	3971
175	2146	3951
176	2154	3931
177	2162	3912
178	2170	3893
179	2178	3873
180	2187	3856
181	2195	3836
182	2204	3818
183	2211	3798
184	2220	3780
185	2229	3763
186	2237	3745
187	2246	3729
188	2256	3712
189	2265	3696
190	2274	3680
191	2283	3663
192	2292	3646
193	2301	3629
194	2310	3613
195	2318	3596
196	2327	3579
197	2334	3560
198	2342	3542
199	2350	3525
200	2358	3507
201	2366	3491
202	2374	3473
203	2381	3455
204	2389	3438
205	2397	3421
206	2405	3405
207	2413	3388
208	2422	3373
209	2430	3355
210	2437	3339
211	2445	3322
212	2453	3305
213	2462	3290
214	2470	3274
215	2477	3257
216	2485	3241
217	2493	3225
218	2501	3209
219	2508	3193
220	2516	3177
221	2524	3161
222	2532	3145
223	2540	3129
224	2548	3114
225	2557	3100
226	2565	3085
227	2574	3071
228	2583	3056
229	2592	3043
230	2601	3029
231	2609	3014
232	2616	2998
233	2625	2984
234	2633	2969
235	2641	2955
236	2651	2942
237	2660	2928
238	2669	2914
239	2677	2900
240	2685	2886
241	2693	2871
242	2701	2857
243	2710	2843
244	2718	2829
245	2726	2815
246	2733	2800
247	2740	2785
248	2748	2770
249	2756	2756
250	2764	2742
251	2772	2728
252	2780	2714
253	2787	2700
254	2796	2686
255	2804	2673
256	2813	2660
257	2821	2646
258	2829	2633
259	2837	2619
260	2845	2606
261	2854	2592
262	2861	2578
263	2870	2566
264	2879	2553
265	2886	2539
266	2894	2525
267	2901	2512
268	2910	2499
269	2917	2485
270	2926	2472
271	2933	2458
272	2940	2445
273	2949	2432
274	2958	2420
275	2967	2408
276	2976	2395
277	2984	2383
278	2992	2370
279	3001	2358
280	3009	2345
281	3018	2333
282	3027	2321
283	3036	2309
284	3044	2296
285	3053	2284
286	3061	2272
287	3069	2259
288	3077	2246
289	3085	2234
290	3093	2222
291	3102	2209
292	3110	2197
293	3117	2184
