iter	Logloss
0	0.6712975604
1	0.6530292474
2	0.6406933057
3	0.6226312633
4	0.6102006262
5	0.5950226005
6	0.5855974195
7	0.5700620429
8	0.5628528785
9	0.5500139076
10	0.5404498986
11	0.5326861489
12	0.5230296778
13	0.5171112871
14	0.5079604873
15	0.5002365935
16	0.4938484018
17	0.4898632576
18	0.482514118
19	0.4780955061
20	0.4746673396
21	0.4704915151
22	0.4649840006
23	0.4609670513
24	0.4571630845
25	0.4530931878
26	0.4492524007
27	0.4466561723
28	0.4442612593
29	0.4403760268
30	0.4387071486
31	0.4364686726
32	0.4345550137
33	0.431889346
34	0.430692094
35	0.4273485827
36	0.4262258632
37	0.4254026291
38	0.42356548
39	0.4204812428
40	0.4198569003
41	0.4174595137
42	0.4143728474
43	0.4131619244
44	0.4112411701
45	0.4104063566
46	0.4094826304
47	0.4084071225
48	0.406786132
49	0.4062535205
50	0.4047045167
51	0.403048631
52	0.4021361854
53	0.4014015717
54	0.4001581877
55	0.3986961926
56	0.3976214577
57	0.3970887175
58	0.3963197658
59	0.3957041633
60	0.3951218431
61	0.3943987965
62	0.3939859295
63	0.3934570289
64	0.3928156116
65	0.3923999706
66	0.3914709766
67	0.391098354
68	0.390424982
69	0.3900950732
70	0.3898480581
71	0.3887552137
72	0.3878100249
73	0.3874435167
74	0.3872251845
75	0.386601254
76	0.3853574808
77	0.3845848669
78	0.3842091654
79	0.3840004034
80	0.3835667643
81	0.3831019671
82	0.382145745
83	0.3812803779
84	0.3802660422
85	0.3801273681
86	0.379867738
87	0.3793569452
88	0.3791665097
89	0.3789226399
90	0.3787209757
91	0.3779994958
92	0.3779029954
93	0.3776879702
94	0.3775011996
95	0.3773537524
96	0.3766099139
97	0.3763251054
98	0.3760540356
99	0.3759609632
100	0.3757923102
101	0.3754049423
102	0.3745693027
103	0.3744917618
104	0.37404122
105	0.3732316766
106	0.3731454889
107	0.3730958343
108	0.3730495156
109	0.3727982531
110	0.3727095494
111	0.3722978092
112	0.3722396072
113	0.3721982662
114	0.3721117309
115	0.3717472264
116	0.3716281986
117	0.3715946247
118	0.3714437349
119	0.3704009466
120	0.3701215751
121	0.3700538575
122	0.369680966
123	0.3695808127
124	0.3688078974
125	0.3684978203
126	0.3682345562
127	0.3682026496
128	0.3674842818
129	0.3673397018
130	0.3670169009
131	0.3669171806
132	0.3668440268
133	0.3667501415
134	0.3664351783
135	0.3661989704
136	0.36603644
137	0.3658919457
138	0.3657462349
139	0.3651859058
140	0.3650002758
141	0.3649821618
142	0.3647434935
143	0.364491847
144	0.3644087672
145	0.3641797514
146	0.3640927146
147	0.3640678919
148	0.3640466433
149	0.3639958832
150	0.3638982403
151	0.36370846
152	0.3636869764
153	0.3634868792
154	0.3634671865
155	0.3634491477
156	0.3633473735
157	0.3632088576
158	0.3631633888
159	0.3630533437
160	0.3627778691
161	0.3627588194
162	0.3626483175
163	0.3625367089
164	0.3625184808
165	0.3623694634
166	0.3623482035
167	0.3622339951
168	0.3621240287
169	0.3620330132
170	0.3620190153
171	0.3619265023
172	0.3617975374
173	0.3615369953
174	0.3615223857
175	0.3614967902
176	0.3614692565
177	0.3613141859
178	0.3612527449
179	0.3612388051
180	0.360829807
181	0.3608215614
182	0.3606884204
183	0.3606210737
184	0.3606119231
185	0.3604507526
186	0.3604325161
187	0.3602862907
188	0.3601299514
189	0.3600667111
190	0.3599763359
191	0.3599599881
192	0.3599443986
193	0.3599293091
194	0.359796739
195	0.3597610094
196	0.3594944262
197	0.3594782181
198	0.35946825
199	0.3594529809
200	0.3593358645
201	0.3592176557
202	0.3591248046
203	0.3591117876
204	0.3590375625
205	0.3589287068
206	0.3589129077
207	0.3587893235
208	0.3587114203
209	0.3587013488
210	0.3586876337
211	0.3586733749
212	0.3586637309
213	0.3585462614
214	0.358529655
215	0.3585193417
216	0.3584527631
217	0.3583455509
218	0.3583346571
219	0.3583290117
220	0.3582939561
221	0.3582606246
222	0.3582497078
223	0.3582344265
224	0.3582221485
225	0.3581327438
226	0.3580749304
227	0.3579657593
228	0.3579397927
229	0.3578258145
230	0.3576772482
231	0.3576638031
232	0.3576554883
233	0.3574383131
234	0.3574224206
235	0.3573380472
236	0.3571816578
237	0.3570871441
238	0.357049225
239	0.3570433204
240	0.3570329526
241	0.3570158382
242	0.3570039133
243	0.3568546647
244	0.3567984363
245	0.3567847165
246	0.356774433
247	0.3567587912
248	0.3567489715
249	0.3567371203
250	0.35672491
251	0.3565696316
252	0.3565563577
253	0.3565423241
254	0.356441646
255	0.3564128579
256	0.3563807984
257	0.3563445163
258	0.3563285671
259	0.3562916309
260	0.3562662471
261	0.3561656495
262	0.3561547893
263	0.3560250235
264	0.3560161308
265	0.3560051606
266	0.3559935619
267	0.3559794707
268	0.3558985311
269	0.3558854531
270	0.3557775221
271	0.3557649435
272	0.3557543412
273	0.3557455205
274	0.3557306437
275	0.3556741462
276	0.3556624035
277	0.3556472322
278	0.35563186
279	0.355616327
280	0.3556076736
281	0.3555295024
282	0.355522151
283	0.3555143275
284	0.3555021622
285	0.355481755
286	0.3553765758
287	0.355340324
288	0.3553281936
289	0.3552826307
290	0.3551666126
291	0.355151374
292	0.3550670601
293	0.3550547137
294	0.3550357743
295	0.3550236007
296	0.355011882
297	0.3549873122
298	0.3549793606
299	0.3549512817
300	0.3549393328
301	0.3549285675
302	0.3547948603
303	0.3547773049
304	0.3547622593
305	0.3547491398
306	0.3547371323
307	0.3547155942
308	0.354697903
309	0.3546891467
310	0.3545999365
311	0.3545849654
312	0.3545726894
313	0.3544942794
314	0.3544853893
315	0.3544161209
316	0.3543855489
317	0.3543714524
318	0.3542078353
319	0.3542007589
320	0.3541880546
321	0.3541765554
322	0.3541649993
323	0.3541549619
324	0.3540540797
325	0.3540388895
326	0.3540264036
327	0.3539909895
328	0.3539750997
329	0.3539621907
330	0.3538129371
331	0.3537992512
332	0.353790965
333	0.3537805956
334	0.3537678002
335	0.3537554931
336	0.3536497579
337	0.3536351925
338	0.3535251104
339	0.3534465897
340	0.3534323137
341	0.3534182715
342	0.353327358
343	0.3533174774
344	0.3532982467
345	0.3532879466
346	0.3532741133
347	0.3532610782
348	0.3530133772
349	0.3530045052
350	0.3529962711
351	0.3529816357
352	0.3528931469
353	0.3527949363
354	0.3527827281
355	0.352769778
356	0.3527576829
357	0.3527431867
358	0.3527316586
359	0.3527191369
360	0.3525995691
361	0.352587315
362	0.3525721155
363	0.3525610911
364	0.3525421297
365	0.3525129442
366	0.3525035013
367	0.3524917001
368	0.3524791473
369	0.352468992
370	0.3524514605
371	0.3524364537
372	0.352424631
373	0.3524112037
374	0.3523958468
375	0.3523871008
376	0.3523723172
377	0.3523600863
378	0.3523495713
379	0.3523414542
380	0.3523303621
381	0.3523193291
382	0.3523098127
383	0.3522966246
384	0.3522760123
385	0.3522010598
386	0.3521029713
387	0.3520871112
388	0.3520750188
389	0.3520629581
390	0.352048605
391	0.3519909268
392	0.3519795102
393	0.3519668965
394	0.3519102378
395	0.3519002583
396	0.3518835212
397	0.3518713018
398	0.351862325
399	0.3518519863
400	0.3517566404
401	0.3517196356
402	0.35170886
403	0.3516940774
404	0.3516808648
405	0.3516720116
406	0.3516613408
407	0.3516492089
408	0.3515642768
409	0.351404513
410	0.3513451449
411	0.3513282035
412	0.351140066
413	0.3509827735
414	0.3509086012
415	0.3508954859
416	0.3508822442
417	0.3508733398
418	0.3507779099
419	0.3506940284
420	0.3506816897
421	0.3506074657
422	0.3505913987
423	0.3505793014
424	0.350562251
425	0.3505495768
426	0.3505421493
427	0.350446232
428	0.3504369824
429	0.3504243121
430	0.3504062174
431	0.3503555895
432	0.3503426895
433	0.3503269703
434	0.3503124889
435	0.3502390974
436	0.3501659854
437	0.3501518951
438	0.3501362552
439	0.3501244117
440	0.3500518726
441	0.3500358279
442	0.3500174554
443	0.3499636206
444	0.349948355
445	0.349878795
446	0.349864708
447	0.3498074249
448	0.3497948631
449	0.3497853471
450	0.3497243937
451	0.3497133241
452	0.3496194136
453	0.3495919554
454	0.3495818458
455	0.3495066328
456	0.3494935232
457	0.3494816068
458	0.3494720972
459	0.3494010258
460	0.3493176603
461	0.3493054357
462	0.3492647652
463	0.3492338938
464	0.3492253376
465	0.3492134595
466	0.3492000892
467	0.3491825362
468	0.3491652261
469	0.3491546003
470	0.348999675
471	0.3489578521
472	0.3489464093
473	0.3488858848
474	0.3488673416
475	0.348856366
476	0.348845552
477	0.3488342843
478	0.3488152113
479	0.3488041493
480	0.3487896011
481	0.3487255527
482	0.3486351102
483	0.3486234802
484	0.3486060128
485	0.3485973007
486	0.3485840966
487	0.3485094094
488	0.348495381
489	0.3484842607
490	0.3484709969
491	0.3484064155
492	0.348393853
493	0.3483131233
494	0.348302592
495	0.348287859
496	0.3482758434
497	0.348263851
498	0.3482126214
499	0.3481430941
