iter	Passed	Remaining
0	75	37453
1	92	22973
2	102	16906
3	112	13905
4	121	12052
5	131	10823
6	141	9954
7	151	9343
8	161	8794
9	171	8382
10	180	8044
11	190	7735
12	200	7515
13	210	7315
14	220	7134
15	230	6966
16	239	6816
17	249	6674
18	259	6562
19	268	6439
20	277	6326
21	286	6226
22	295	6137
23	307	6091
24	319	6064
25	331	6036
26	344	6035
27	355	5994
28	367	5966
29	378	5936
30	388	5884
31	399	5840
32	409	5790
33	419	5751
34	430	5722
35	440	5678
36	451	5650
37	461	5613
38	472	5588
39	482	5551
40	491	5506
41	501	5463
42	510	5428
43	520	5390
44	529	5349
45	538	5311
46	548	5282
47	557	5245
48	565	5209
49	575	5177
50	584	5142
51	593	5113
52	604	5094
53	613	5064
54	622	5034
55	631	5004
56	640	4974
57	650	4956
58	659	4933
59	669	4908
60	678	4885
61	687	4857
62	697	4835
63	706	4814
64	715	4790
65	725	4767
66	735	4753
67	745	4736
68	756	4724
69	766	4708
70	776	4690
71	786	4673
72	795	4655
73	806	4642
74	816	4626
75	827	4614
76	838	4607
77	849	4595
78	859	4582
79	869	4567
80	880	4554
81	889	4533
82	898	4512
83	907	4494
84	916	4475
85	925	4453
86	934	4434
87	943	4419
88	953	4403
89	962	4386
90	972	4369
91	981	4353
92	990	4333
93	999	4316
94	1008	4298
95	1017	4282
96	1026	4265
97	1035	4248
98	1046	4238
99	1055	4223
100	1066	4213
101	1076	4201
102	1087	4192
103	1097	4178
104	1107	4167
105	1117	4155
106	1126	4138
107	1135	4120
108	1145	4109
109	1155	4097
110	1166	4086
111	1176	4074
112	1187	4066
113	1196	4052
114	1206	4040
115	1217	4031
116	1229	4024
117	1240	4015
118	1251	4007
119	1263	4001
120	1274	3990
121	1284	3978
122	1295	3971
123	1305	3958
124	1316	3948
125	1326	3937
126	1336	3924
127	1345	3910
128	1356	3900
129	1365	3886
130	1374	3871
131	1383	3856
132	1393	3844
133	1402	3829
134	1411	3816
135	1425	3815
136	1441	3818
137	1523	3996
138	1572	4083
139	1585	4077
140	1615	4113
141	1631	4113
142	1643	4102
143	1653	4087
144	1663	4072
145	1673	4056
146	1684	4044
147	1693	4026
148	1703	4011
149	1713	3997
150	1723	3983
151	1734	3970
152	1744	3955
153	1754	3941
154	1763	3925
155	1772	3908
156	1782	3894
157	1791	3878
158	1800	3862
159	1810	3847
160	1819	3831
161	1828	3814
162	1838	3800
163	1847	3785
164	1856	3769
165	1865	3754
166	1874	3737
167	1883	3721
168	1892	3706
169	1900	3689
170	1909	3673
171	1918	3658
172	1927	3643
173	1937	3629
174	1946	3614
175	1956	3600
176	1965	3587
177	1975	3573
178	1984	3558
179	1993	3543
180	2003	3531
181	2012	3516
182	2023	3505
183	2033	3492
184	2043	3480
185	2054	3467
186	2064	3456
187	2074	3443
188	2085	3431
189	2096	3420
190	2106	3408
191	2116	3395
192	2126	3382
193	2136	3369
194	2147	3358
195	2157	3346
196	2167	3333
197	2175	3318
198	2184	3304
199	2194	3291
200	2203	3278
201	2213	3265
202	2222	3252
203	2231	3237
204	2240	3224
205	2249	3210
206	2259	3197
207	2267	3183
208	2277	3170
209	2286	3157
210	2295	3143
211	2303	3129
212	2313	3116
213	2322	3103
214	2331	3090
215	2340	3077
216	2349	3063
217	2361	3054
218	2370	3041
219	2378	3027
220	2387	3013
221	2396	3001
222	2405	2987
223	2413	2974
224	2423	2961
225	2433	2950
226	2443	2939
227	2455	2929
228	2466	2918
229	2476	2906
230	2486	2895
231	2495	2882
232	2504	2869
233	2513	2857
234	2522	2844
235	2532	2832
236	2542	2821
237	2554	2811
238	2564	2800
239	2574	2788
240	2583	2775
241	2593	2764
242	2602	2752
243	2611	2740
244	2621	2728
245	2629	2715
246	2638	2702
247	2646	2689
248	2656	2677
249	2665	2665
250	2673	2652
251	2684	2641
252	2692	2629
253	2701	2616
254	2711	2604
255	2721	2593
256	2731	2582
257	2740	2570
258	2750	2559
259	2759	2547
260	2768	2535
261	2777	2523
262	2786	2511
263	2796	2500
264	2805	2487
265	2814	2475
266	2823	2463
267	2832	2452
268	2845	2443
269	2855	2432
270	2866	2422
271	2876	2410
272	2887	2400
273	2898	2390
274	2909	2380
275	2921	2370
276	2930	2359
277	2941	2349
278	2952	2338
279	2962	2327
280	2972	2316
281	2982	2306
282	2992	2294
283	3002	2283
284	3011	2271
285	3020	2259
286	3029	2248
287	3039	2237
288	3048	2225
289	3058	2214
290	3067	2203
291	3076	2191
292	3085	2179
293	3094	2168
294	3103	2156
295	3111	2144
296	3120	2132
297	3129	2121
298	3138	2109
299	3148	2098
300	3156	2087
301	3165	2075
302	3174	2064
303	3183	2052
304	3191	2040
305	3200	2028
306	3209	2017
307	3218	2006
308	3227	1995
309	3236	1983
310	3246	1972
311	3256	1962
312	3266	1951
313	3275	1940
314	3285	1929
315	3296	1919
316	3307	1909
317	3316	1898
318	3327	1887
319	3336	1877
320	3348	1867
321	3358	1856
322	3368	1845
323	3378	1835
324	3389	1825
325	3399	1814
326	3409	1803
327	3420	1793
328	3432	1783
329	3443	1773
330	3456	1764
331	3466	1754
332	3477	1743
333	3488	1733
334	3500	1724
335	3512	1714
336	3523	1704
337	3534	1694
338	3546	1684
339	3557	1674
340	3568	1663
341	3580	1654
342	3591	1643
343	3602	1633
344	3611	1622
345	3620	1611
346	3632	1601
347	3644	1591
348	3656	1582
349	3670	1572
350	3680	1562
351	3690	1551
352	3708	1544
353	3731	1538
354	3781	1544
355	3819	1544
356	3840	1538
357	3860	1531
358	3873	1521
359	3887	1511
360	3906	1504
361	3921	1495
362	3932	1484
363	3942	1473
364	3952	1461
365	3963	1451
366	3973	1440
367	3982	1428
368	3990	1416
369	3998	1404
370	4007	1393
371	4017	1382
372	4025	1370
373	4034	1359
374	4043	1347
375	4052	1336
376	4061	1325
377	4070	1313
378	4079	1302
379	4088	1291
380	4097	1279
381	4105	1268
382	4115	1257
383	4125	1246
384	4134	1234
385	4143	1223
386	4153	1212
387	4163	1201
388	4171	1190
389	4180	1179
390	4189	1167
391	4198	1156
392	4206	1145
393	4215	1134
394	4225	1123
395	4235	1112
396	4244	1101
397	4254	1090
398	4265	1079
399	4274	1068
400	4285	1057
401	4294	1047
402	4305	1036
403	4315	1025
404	4325	1014
405	4335	1003
406	4345	992
407	4355	982
408	4366	971
409	4377	960
410	4387	950
411	4397	939
412	4406	928
413	4416	917
414	4425	906
415	4433	895
416	4442	884
417	4451	873
418	4461	862
419	4470	851
420	4480	840
421	4488	829
422	4497	818
423	4505	807
424	4514	796
425	4523	785
426	4532	774
427	4541	764
428	4552	753
429	4561	742
430	4570	731
431	4579	720
432	4588	710
433	4598	699
434	4607	688
435	4615	677
436	4624	666
437	4634	655
438	4643	645
439	4652	634
440	4662	623
441	4673	613
442	4683	602
443	4693	591
444	4702	581
445	4713	570
446	4722	559
447	4732	549
448	4741	538
449	4751	527
450	4761	517
451	4772	506
452	4781	496
453	4790	485
454	4801	474
455	4811	464
456	4819	453
457	4828	442
458	4837	432
459	4847	421
460	4856	410
461	4865	400
462	4874	389
463	4883	378
464	4891	368
465	4899	357
466	4908	346
467	4917	336
468	4925	325
469	4934	314
470	4944	304
471	4953	293
472	4962	283
473	4971	272
474	4980	262
475	4989	251
476	4997	240
477	5006	230
478	5015	219
479	5024	209
480	5033	198
481	5042	188
482	5051	177
483	5060	167
484	5070	156
485	5080	146
486	5089	135
487	5099	125
488	5109	114
489	5118	104
490	5128	94
491	5138	83
492	5147	73
493	5158	62
494	5169	52
495	5179	41
496	5189	31
497	5200	20
498	5209	10
499	5219	0
